id,name,tool_qualification,official_url,official_url_classification,website_verified,github_repository_verified,logo_url,logo_classification,logo_verified,discovery_source,evidence_source_count,provenance_status,description_status,description_grounded,description_specificity,duplicate_status,category_status,final_status,issues
tool_7e75f3f9311ae674,cc-switch,PASS,https://ccswitch.io,VALID_OFFICIAL_WEBSITE,True,True,https://ccswitch.io/og-image.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_22722e523af215ba,browser-use,PASS,https://browser-use.com,VALID_OFFICIAL_WEBSITE,True,True,https://browser-use.com/og/home-og.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,MEDIUM,UNIQUE,PASS,REVIEW_REQUIRED,Desc: Concise (40 chars)
tool_2399ec7b5d329f9d,private-gpt,PASS,https://zylon.ai/private-gpt,VALID_OFFICIAL_WEBSITE,True,True,https://framerusercontent.com/assets/eHujmY0qqWWVRELkTI4ne3fDvgU.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_8b2c97aaa1521199,medusa,PASS,https://medusajs.com,VALID_OFFICIAL_WEBSITE,True,True,"https://assets.medusajs.com/cdn-cgi/image/width=1200,quality=82,format=auto,fit=contain/uploads/2024/08/social-media-graphics-2024-meta-image-nps9tuy6.webp",OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_c51aea0eca994fff,prompt-optimizer,PASS,https://prompt.always200.com,VALID_OFFICIAL_WEBSITE,True,True,https://prompt.always200.com/favicon.ico,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_aef70ac495a46702,openclaude,PASS,https://openclaude.gitlawb.com,VALID_OFFICIAL_WEBSITE,True,True,https://openclaude.gitlawb.com/og/default.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_c04c906beeb2f6f3,OpenCLI,PASS,https://opencli.info,VALID_OFFICIAL_WEBSITE,True,True,https://opencli.info/favicon.svg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_61ad2538f0c3bb2a,nocobase,PASS,https://nocobase.com,VALID_OFFICIAL_WEBSITE,True,True,https://static-docs.nocobase.com/20260513-og-github-v3.jpg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_bd430e11fad5b7fa,Auto-claude-code-research-in-sleep,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/5b165213d0f68815262a4ba5a59d58c292820b05fd9d8b59ae4d1ef5480aae41/wanshuiyin/Auto-claude-code-research-in-sleep,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_dee87fe28e66478b,opencodex,PASS,https://opencodex.me,VALID_OFFICIAL_WEBSITE,True,True,https://opencodex.me/og.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
