id,entity_type,name,description,official_url,repository_url,provider,model_family,architecture,parameter_count,context_length,modalities,license,open_weights,source_name,source_url,website_status,logo_status,quality_score,updated_at
model:hf:google--gemini-3.1-flash-lite-image,MODEL,Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image),"Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image) is Google's fastest, most cost-efficient Gemini image model, built for high-velocity developer pipelines and rapid-fire visual exploration. It delivers text-to-image generation...",https://openrouter.ai/models/google/gemini-3.1-flash-lite-image,https://openrouter.ai/models/google/gemini-3.1-flash-lite-image,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:sakana--fugu-ultra,MODEL,Sakana: Fugu Ultra,"Fugu Ultra is the higher-performance model in Sakana AI's Fugu family. Rather than a single monolithic model, Fugu is a learned multi-agent orchestration system: a language model trained to route...",https://openrouter.ai/models/sakana/fugu-ultra,https://openrouter.ai/models/sakana/fugu-ultra,Sakana,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:google--gemini-3.1-flash-image,MODEL,Google: Nano Banana 2 (Gemini 3.1 Flash Image),"Gemini 3.1 Flash Image, a.k.a. ""Nano Banana 2,"" is Google’s latest state of the art image generation and editing model, delivering Pro-level visual quality at Flash speed. It combines advanced...",https://openrouter.ai/models/google/gemini-3.1-flash-image,https://openrouter.ai/models/google/gemini-3.1-flash-image,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:google--gemini-3-pro-image,MODEL,Google: Nano Banana Pro (Gemini 3 Pro Image),"Nano Banana Pro is Google’s most advanced image-generation and editing model, built on Gemini 3 Pro. It extends the original Nano Banana with significantly improved multimodal reasoning, real-world grounding, and...",https://openrouter.ai/models/google/gemini-3-pro-image,https://openrouter.ai/models/google/gemini-3-pro-image,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:cohere--north-mini-code:free,MODEL,Cohere: North Mini Code (free),"North Mini Code is Cohere's first agentic coding model and the debut of its North family. A sparse mixture-of-experts model with 30B total parameters and 3B active, it is optimized...",https://openrouter.ai/models/cohere/north-mini-code:free,https://openrouter.ai/models/cohere/north-mini-code:free,Cohere,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:z-ai--glm-5.2,MODEL,Z.ai: GLM 5.2,"GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window, and is suited for long-horizon agent workflows, project-level software engineering,...",https://openrouter.ai/models/z-ai/glm-5.2,https://openrouter.ai/models/z-ai/glm-5.2,Z-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:z-ai--glm-5.2:batch,MODEL,Z.ai: GLM 5.2 (batch),"GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window, and is suited for long-horizon agent workflows, project-level software engineering,...",https://openrouter.ai/models/z-ai/glm-5.2:batch,https://openrouter.ai/models/z-ai/glm-5.2:batch,Z-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:z-ai--glm-5.2:free,MODEL,Z.ai: GLM 5.2 (free),"GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window, and is suited for long-horizon agent workflows, project-level software engineering,...",https://openrouter.ai/models/z-ai/glm-5.2:free,https://openrouter.ai/models/z-ai/glm-5.2:free,Z-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:openrouter--fusion,MODEL,OpenRouter: Fusion,"Fusion turns your prompt into a small multi-model deliberation. A panel of expert models (see below) analyzes your prompt in parallel with web search and web fetch enabled, then a...",https://openrouter.ai/models/openrouter/fusion,https://openrouter.ai/models/openrouter/fusion,Openrouter,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:moonshotai--kimi-k2.7-code,MODEL,MoonshotAI: Kimi K2.7 Code,"MoonshotAI: Kimi K2.7 Code is a coding-focused model in Moonshot AI's Kimi K2 family, built to complete end-to-end programming tasks reliably over long contexts. It uses a native multimodal mixture-of-experts...",https://openrouter.ai/models/moonshotai/kimi-k2.7-code,https://openrouter.ai/models/moonshotai/kimi-k2.7-code,Moonshotai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:~anthropic--claude-fable-latest,MODEL,Anthropic: Claude Fable Latest,This model always redirects to the latest model in the Claude Fable family.,https://openrouter.ai/models/~anthropic/claude-fable-latest,https://openrouter.ai/models/~anthropic/claude-fable-latest,~anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:anthropic--claude-fable-5,MODEL,Anthropic: Claude Fable 5,"Claude Fable 5 is a Mythos-class model from Anthropic, built for autonomous knowledge work and coding. It supports text, image, and file inputs with text output, with reasoning support and...",https://openrouter.ai/models/anthropic/claude-fable-5,https://openrouter.ai/models/anthropic/claude-fable-5,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
