Record ID,Robot Name,Description,Manufacturer,Robot Type,Form Factor,Commercial Status,Official Website,Source,Source URL,Website Verified
robot:enactic/openarm,openarm,A fully open-source humanoid arm for physical AI research and deployment in contact-rich environments.,enactic,Humanoid Robot,,Commercial Product,https://openarm.dev,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:roboterax/humanoid-gym,humanoid-gym,Humanoid-Gym: Reinforcement Learning for Humanoid Robot with Zero-Shot Sim2Real Transfer https://arxiv.org/abs/2404.05695,roboterax,Humanoid Robot,,Commercial Product,https://sites.google.com/view/humanoid-gym,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:robocasa/robocasa,robocasa,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots,robocasa,Humanoid Robot,,Commercial Product,https://robocasa.ai,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:zhengyiluo/phc,PHC,Official Implementation of the ICCV 2023 paper:  Perpetual Humanoid Control for Real-time Simulated Avatars,ZhengyiLuo,Humanoid Robot,,Commercial Product,https://zhengyiluo.github.io/PHC,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:open-x-humanoid/tienkung-lab,TienKung-Lab,Tien Kung-Lab: Direct IsaacLab Workflow for Legged Robots,Open-X-Humanoid,Humanoid Robot,,Research Platform,https://github.com/Open-X-Humanoid/TienKung-Lab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:menloresearch/asimov-v0,asimov-v0,"v0 of Asimov, an open-source humanoid robot",menloresearch,Humanoid Robot,,Commercial Product,https://asimov.inc,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:horizonrobotics/holomotion,HoloMotion,HoloMotion: A Foundation Model for Whole-Body Humanoid Control,HorizonRobotics,Humanoid Robot,,Research Platform,https://github.com/HorizonRobotics/HoloMotion,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:opendrivelab/wholebodyvla,WholebodyVLA,[ICLR 2026] Towards Unified Latent VLA for Whole-body Loco-manipulation Control,OpenDriveLab,Humanoid Robot,,Commercial Product,https://opendrivelab.com/WholebodyVLA,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:sirui-xu/intermimic,InterMimic,[CVPR 2025 Highlight] InterMimic: Towards Universal Whole-Body Control for Physics-Based Human-Object Interactions,Sirui-Xu,Humanoid Robot,,Commercial Product,https://sirui-xu.github.io/InterMimic,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:softmata/horus,horus,"Fastest Robotics Runtime System.  If phones have Android, robots deserve HORUS.",softmata,Humanoid Robot,,Commercial Product,https://docs.horusrobotics.dev,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:rhoban/microban,microban,"Microban is an affordable, fully 3D-printable, and 100% open-source humanoid robot. Powered by a Raspberry Pi Zero 2W and 19 Dynamixel servomotors, it serves as an accessible DIY platform for learning, experimentation, and research in robotics.",Rhoban,Humanoid Robot,,Research Platform,https://github.com/Rhoban/microban,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:kingjux/venocyber-md,Venocyber-md,Introducing Venocyber md bot your personal chuddybuddy md you were looking for this is most powerful Whatsapp chat bot created to ensure your WhatsApp personal requirements you are all in one ✍️👋👋,Kingjux,Humanoid Robot,,Commercial Product,https://african-cod3rs-nothing-can-stop-us.vercel.app,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:manumerous/wb_humanoid_mpc,wb_humanoid_mpc,Whole-Body Nonlinear MPC for Realtime Humanoid Loco-Manipulation Planning and Control,manumerous,Humanoid Robot,,Research Platform,https://github.com/manumerous/wb_humanoid_mpc,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:ihmcrobotics/ihmc-open-robotics-software,ihmc-open-robotics-software,"Robotics software featuring legged locomotion algorithms and a momentum-based controller core with optimization. Supporting software for world-class robots including humanoids, running birds, exoskeletons, mechs and more.",ihmcrobotics,Humanoid Robot,,Commercial Product,https://robots.ihmc.us,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
