Record ID,Article Title,Summary,Source Name,Source Domain,Canonical URL,Published At,Author,Categories,Event Cluster ID,Source URL
news:68b12eb059a981b4,Making AI-Assisted Claims Independently Challengeable: Publication Authority and a Protocol for Falsifiable Publication Records,"arXiv:2609.17631v1 Announce Type: new Abstract: AI-assisted claims can appear authoritative when evidence, analysis, human authorization, presentation, and correction history refer to different states. Provenance, attestation, and transparency expose history but alone do not specify the publication transition examined here. We develop Publication Authority as an exact-state, non-transferable, single-use publication capability and instantiate it in PAC-2026 (Publication-Accountability Calculus), ",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17631,2026-09-17T04:00:00Z,"Torsten Olivi Tiltack, Yifei Dong, Kun Yu, Xu Wang, Wei Liu, Jianlong Zhou, Ren Ping Liu, Fang Chen",Research | Policy & Security,cluster:ev-001,https://arxiv.org/abs/2609.17631
news:6742b2bcdb96ecc4,EvolveTrade: Experience-Driven Policy Refinement for Self-Evolving LLM Trading Agents,"arXiv:2609.17632v1 Announce Type: new Abstract: Large language model (LLM) trading agents can combine market data, news, and executable analysis, but their behavior is often controlled by static hand-written tool-use policies that are fixed before deployment. This limits their ability to adapt how they gather evidence, invoke tools, verify signals, and manage risk under changing market regimes. We introduce EvolveTrade, a self-evolving framework that treats the system prompt of a tool-using trad",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17632,2026-09-17T04:00:00Z,"Sehee Kim, Yumin Choi, Minki Kang, Sung Ju Hwang",AI Models | Generative AI | Agents | Developer Tools | Research | Policy & Security,cluster:ev-002,https://arxiv.org/abs/2609.17632
news:4d252ecda5479165,One Color Preprocessing Improves DSATUR,"arXiv:2609.17633v1 Announce Type: new Abstract: The Graph Coloring Problem (GCP) is NP-hard and DSATUR stands as one of the fastest heuristics for it despite producing colorings that typically use more colors than state-of-the-art coloring algorithms. We propose SSLD (Semidefinite Spectral Learning with DSATUR), which improves DSATUR by preprocessing a first good color class before letting DSATUR complete coloring the rest of the given graph. We obtain this color class from a Semidefinite Progra",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17633,2026-09-17T04:00:00Z,"Adam Nouira, Lucas Isenmann",Research,cluster:ev-003,https://arxiv.org/abs/2609.17633
news:6021753d5a9640b4,Physics-Constrained Digital Twins for Sensor Integrity in Urban Pedestrian Flow: Detecting Stealthy False Data Injection with Conformal Guarantees,"arXiv:2609.17635v1 Announce Type: new Abstract: City pedestrian counting systems now feed economic indicators, planning decisions and safety operations, yet the twins built on top of them treat the incoming stream as ground truth. We study what happens when it is not. We formalise stealthy false data injection for city-scale pedestrian sensing, where the map from latent flow to observation is far more rank deficient than in the power and water networks for which stealth has been characterised. O",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17635,2026-09-17T04:00:00Z,"Oscar Mogollon Gutierrez, Fatemeh Ghasemi, Mohammadhossein Homaei, Andres Caro, Mar Avila",Research | Policy & Security,cluster:ev-004,https://arxiv.org/abs/2609.17635
news:ce7eba46eeacd0b8,What You Can't See Is Still What You Learn: A Preregistered Sixty-Society Confirmation That Evidence Masking Drives Compositional Generalization,"arXiv:2609.17637v1 Announce Type: new Abstract: Restricting what a module can read may improve what a system learns to compute. We test this in a preregistered confirmation with sixty four-cell systems sharing a frozen language-model backbone and communicating through learned continuous packets. Five conditions vary evidence masking, ownership markers, and replacement of foreign evidence with neutral filler, across six initialization clusters, each with two data orders, on one fresh task world. ",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17637,2026-09-17T04:00:00Z,Narcis Marincat,AI Models | Research,cluster:ev-005,https://arxiv.org/abs/2609.17637
news:8f8a81fbbd157f85,CapMem: A Benchmark for Caption-Based Episodic Memory in Egocentric Video,"arXiv:2609.17688v1 Announce Type: new Abstract: Wearable assistants require episodic memory over egocentric video, yet current vision-language models face bounded frame budgets, growing visual-token costs, and long-context retrieval failures. Under these practical constraints, we study whether textual captions can serve as reusable episodic memory. We define the Episodic Memory Video Caption QA task and introduce CapMem, a human-annotated benchmark with 75 videos totaling 33.7 hours, and 1,000 m",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17688,2026-09-17T04:00:00Z,"Dingli Liang, Yiqiao Xie, Yukai Huang, Zhaokai Wang, Weitong Cai, Guangwen Feng, Jifei Song, Zhensong Zhang, Hang Zhang",Agents | Research,cluster:ev-006,https://arxiv.org/abs/2609.17688
news:a8dcc4b3bd3007d8,GraphEcho: Structural Redundancy and Evidence Provenance in LLM Graph Agents,"arXiv:2609.17695v1 Announce Type: new Abstract: A large language model (LLM) agent can follow more graph paths without acquiring more independent evidence. GraphEcho tests whether agents mistake these repeated encounters for additional corroboration. The benchmark varies path counts and evidential origins while holding evidence content fixed, and evaluates both judgments and active exploration. Controlled synthetic experiments reveal model-dependent judgment shifts, but redundant supporting path",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17695,2026-09-17T04:00:00Z,"Sikun Wang, Yixi Zhou, Lei Fan, Fan Zhang",AI Models | Agents | Research,cluster:ev-007,https://arxiv.org/abs/2609.17695
news:aee3d416d5aafcf8,GVD: Governed Versioning and Deduplication for Document Repositories,"arXiv:2609.17696v1 Announce Type: new Abstract: Document repositories evolve continuously. Guidelines and policies are revised, superseded, and re-uploaded, so the same content recurs in different wording and newer versions refine or contradict earlier ones. These inconsistencies belong to the growing collection rather than to any single document, yet existing work treats versioning, duplicate detection, and contradiction detection as isolated pairwise tasks and stops once a pair is labeled. We ",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17696,2026-09-17T04:00:00Z,"Mohammadreza Sediqin, Shivali Dalmia, Sumukha Thoppanahalli, Abhishek Mukherji",AI Models | Developer Tools | Research | Policy & Security,cluster:ev-008,https://arxiv.org/abs/2609.17696
news:0b226d68692a23fb,NeMo Data Designer: An Extensible Framework for Multimodal Synthetic Data Generation,"arXiv:2609.17699v1 Announce Type: new Abstract: We present NeMo Data Designer (NDD), an open-source, general-purpose framework for multi-modal synthetic data generation (SDG). Designed to be intuitive to use, NDD provides a declarative configuration format in which human and/or agent users define each dataset column, with column types spanning text, code, structured outputs, images, embeddings, and statistical samplers that are explicitly configured to steer dataset diversity. Additional column ",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17699,2026-09-17T04:00:00Z,"Johnny Greco, Nabin Mulepati, Andre Manoel, Eric Tramel, Kirit Thadaka, Mike Knepper, Dhruv Nathawani, Dane Corneil, Yev Meyer, Alex Watson, Maarten Van Segbroeck",AI Models | Generative AI | Agents | Developer Tools | Research,cluster:ev-009,https://arxiv.org/abs/2609.17699
news:804626f9b39a8685,"A Systematic Evaluation of the COTQ Provincial Land Cover Product: Structural Consistency, Spectral Separability, and Relative Positioning Against ESA, ESRI, and Google Products","arXiv:2609.17731v1 Announce Type: new Abstract: High-resolution land use and land cover (LULC) products derived from Sentinel-2 imagery are widely used for environmental monitoring and land management, yet their performance can vary across regions with complex ecological gradients and heterogeneous surface conditions. In Quebec, these limitations motivated the development of a provincial 10-m land-cover product, the COTQ, designed to support annual monitoring of land occupation and soil artifici",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17731,2026-09-17T04:00:00Z,"\'Etienne Clabaut, Samuel Foucher, Yacine Bouroubi",Research | Companies,cluster:ev-010,https://arxiv.org/abs/2609.17731
