id,entity_type,name,description,official_url,repository_url,manufacturer,device_type,physical_form,capabilities,processor,accelerator,memory,operating_system,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
device:nats-io/nats-server,device,nats-server,"High-Performance server for NATS.io, the cloud and edge native messaging system.",https://nats.io,https://github.com/nats-io/nats-server,nats-io,AI Workstation,Standalone Appliance,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:ultralytics/yolov3,device,yolov3,"PyTorch implementation of YOLOv3, YOLOv3-SPP, and YOLOv3-tiny for real-time object detection with training, validation, inference, and multi-format export.",https://docs.ultralytics.com/models/yolov3,https://github.com/ultralytics/yolov3,ultralytics,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, vision_processing, on_device_training",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:google-ai-edge/litert-lm,device,LiteRT-LM,"LiteRT-LM is Google's production-ready, high-performance, open-source inference framework for deploying Large Language Models on edge devices.",https://ai.google.dev/edge/litert-lm,https://github.com/google-ai-edge/litert-lm,google-ai-edge,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:beclab/olares,device,Olares,Open-Source Personal Cloud OS for Always-On Agents,https://olares.com,https://github.com/beclab/olares,beclab,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:fedml-ai/fedml,device,FedML,"FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, TensorOpera AI (https://TensorOpera.ai) is your generative AI platform at scale.",https://tensoropera.ai,https://github.com/fedml-ai/fedml,FedML-AI,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:off-grid-ai/ogam,device,OGAM,"The Swiss Army Knife of Offline AI. Chat, see, speak, and generate images on your phone or Mac — GGUF LLMs, vision, Whisper speech-to-text, Stable Diffusion, tool calling, and local-network servers. Runs on your CPU, GPU, or NPU. No account, no API key, zero data leaves your device.",https://getoffgridai.co/pro,https://github.com/off-grid-ai/ogam,off-grid-ai,AI Workstation,Standalone Appliance,"edge_inference, vision_processing, sensor_fusion, low_latency_compute",Dedicated NPU Chip,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:0xshug0/audio.cpp,device,audio.cpp,"An all-in-one, pure C++ inference engine for audio models, powered by ggml. Supports TTS, STT, VAD, voice conversion, music generation, and more, with highly optimized performance. No Python dependency.",,https://github.com/0xshug0/audio.cpp,0xShug0,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:mit-han-lab/once-for-all,device,once-for-all,[ICLR 2020] Once for All: Train One Network and Specialize it for Efficient Deployment,https://ofa.mit.edu,https://github.com/mit-han-lab/once-for-all,mit-han-lab,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:dt42/berrynet,device,BerryNet,Deep learning gateway on Raspberry Pi and other edge devices,,https://github.com/dt42/berrynet,DT42,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,Broadcom ARM NPU / Raspberry Pi,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:microsoft/biodiversity,device,Biodiversity,"Microsoft AI for Good Lab — Biodiversity research hub. Open-source AI models, edge devices, and tools for biodiversity monitoring and conservation. Your source for MegaDetector, SPARROW, PytorchWildlife, Bioacoustics, and more.",https://microsoft.github.io/Biodiversity,https://github.com/microsoft/biodiversity,microsoft,AI Camera,Smart Camera Appliance,"edge_inference, vision_processing",,,,Linux / Custom RTOS,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
