id,name,official_url,official_url_classification,logo_url,logo_classification,logo_verified,description_length,description,description_phase4d_match,tool_qualification,category,provenance_status,final_status,issues
tool_7e75f3f9311ae674,cc-switch,https://ccswitch.io,OFFICIAL_EXTERNAL_WEBSITE,https://ccswitch.io/og-image.png,OFFICIAL_SITE_ASSET,True,116,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent.",True,PASS,MCP,PASS,READY,None
tool_22722e523af215ba,browser-use,https://browser-use.com,OFFICIAL_EXTERNAL_WEBSITE,https://browser-use.com/og/home-og.png,OFFICIAL_SITE_ASSET,True,40,It provides agents that use the browser.,True,PASS,Agents|Models,PASS,REVIEW_REQUIRED,Concise description (40 chars)
tool_2399ec7b5d329f9d,private-gpt,https://zylon.ai/private-gpt,OFFICIAL_EXTERNAL_WEBSITE,https://framerusercontent.com/assets/eHujmY0qqWWVRELkTI4ne3fDvgU.png,OFFICIAL_SITE_ASSET,True,216,"Private GPT provides a complete API layer for private AI applications on local models, supporting features such as RAG, skills, tools, MCP, text-to-sql, and more. It works with any OpenAI-compatible inference server.",True,PASS,Developer Tools,PASS,READY,None
tool_8b2c97aaa1521199,medusa,https://medusajs.com,OFFICIAL_EXTERNAL_WEBSITE,"https://assets.medusajs.com/cdn-cgi/image/width=1200,quality=82,format=auto,fit=contain/uploads/2024/08/social-media-graphics-2024-meta-image-nps9tuy6.webp",OFFICIAL_SITE_ASSET,True,170,Medusa is a commerce platform with a built-in framework for customization that lets developers build custom commerce applications without reinventing core commerce logic.,True,PASS,Developer Tools,PASS,READY,None
tool_c51aea0eca994fff,prompt-optimizer,https://prompt.always200.com,OFFICIAL_EXTERNAL_WEBSITE,https://prompt.always200.com/favicon.ico,OFFICIAL_SITE_ASSET,True,80,An AI prompt optimizer for writing better prompts and getting better AI results.,True,PASS,Productivity,PASS,READY,None
tool_aef70ac495a46702,openclaude,https://openclaude.gitlawb.com,OFFICIAL_EXTERNAL_WEBSITE,https://openclaude.gitlawb.com/og/default.png,OFFICIAL_SITE_ASSET,True,207,"OpenClaude is an open-source coding-agent command-line interface for cloud and local model providers, supporting OpenAI-compatible APIs, Gemini, GitHub Models, Codex, Ollama, Atomic Chat, and other backends.",True,PASS,Agents|Developer Tools,PASS,READY,None
tool_c04c906beeb2f6f3,OpenCLI,https://opencli.info,OFFICIAL_EXTERNAL_WEBSITE,https://opencli.info/favicon.svg,OFFICIAL_SITE_ASSET,True,131,OpenCLI is a tool that can convert any website into a Command Line Interface (CLI) and use a logged-in browser through an AI agent.,True,PASS,Agents|Developer Tools,PASS,READY,None
tool_61ad2538f0c3bb2a,nocobase,https://nocobase.com,OFFICIAL_EXTERNAL_WEBSITE,https://static-docs.nocobase.com/20260513-og-github-v3.jpg,OFFICIAL_SITE_ASSET,True,180,"NocoBase is an open-source AI + no-code platform for building business systems fast, allowing AI to work on top of production-proven infrastructure and a WYSIWYG no-code interface.",True,PASS,Agents|Automation,PASS,READY,None
tool_bd430e11fad5b7fa,Auto-claude-code-research-in-sleep,,MISSING,https://opengraph.githubassets.com/5b165213d0f68815262a4ba5a59d58c292820b05fd9d8b59ae4d1ef5480aae41/wanshuiyin/Auto-claude-code-research-in-sleep,SOCIAL_PREVIEW,False,255,"The tool 'Auto-claude-code-research-in-sleep' enables lightweight Markdown-only skills for autonomous ML research, including cross-model review loops, idea discovery, and experiment automation. It works with Claude Code, Codex, OpenClaw, or any LLM agent.",True,PASS,Agents|Models|MCP|Research,PASS,READY,None
tool_dee87fe28e66478b,opencodex,https://opencodex.me,OFFICIAL_EXTERNAL_WEBSITE,https://opencodex.me/og.png,OFFICIAL_SITE_ASSET,True,198,"opencodex is a universal provider proxy for OpenAI Codex and Claude Code that enables the use of any LLM (e.g., Claude, Gemini, Grok, DeepSeek, Ollama) with the Codex CLI, app, SDK, and Claude Code.",True,PASS,Developer Tools|Models,PASS,READY,None
