Record ID,Repository Name,Description,Repository URL,Primary Language,Stars,Forks,License,Source,Source URL
repository:crmne/ruby_llm,ruby_llm,"The Ruby-native AI framework. Chats, agents, tools, images, audio, and video through one consistent API, in plain Ruby or Rails.",https://github.com/crmne/ruby_llm,Ruby,4379,501,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:fluid-cloudnative/fluid,fluid,"Fluid, elastic data abstraction and acceleration for BigData/AI applications in cloud. (Project under CNCF) ",https://fluid-cloudnative.github.io,Go,1980,1266,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:promptise-com/foundry,Foundry,The foundation layer for agentic intelligence.,https://promptise.com,Python,872,129,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:sangrokjung/claude-forge,claude-forge,"oh-my-zsh for Claude Code — 16 agents, 35 commands, 32 skills, 21 safety hooks in one install. v4.0 adds an adversarial review loop: a second agent that never sees the first one's reasoning. MIT.",https://sangrokjung.github.io/claude-forge,Shell,837,178,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:rnchg/apt,APT,"AI Productivity Tool - Free and open source, improve user productivity, and protect privacy and data security. Including but not limited to: built-in local exclusive ChatGPT, DeepSeek, Phi, Qwen and other models, one-click batch intelligent processing of pictures, videos, audio, etc.",https://github.com/rnchg/apt,C#,769,85,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:rockbite/localforge,localforge,Local coding agent with neat UI,https://localforge.dev,JavaScript,399,45,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:jinbooooom/origindl,OriginDL,"Implement a Pytorch-like DL library in C++ from scratch, step by step",https://github.com/jinbooooom/origindl,C++,377,41,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:epfl-dlab/aiflows,aiflows,🤖🌊 aiFlows: The building blocks of your collaborative AI,https://epfl-dlab.github.io/aiflows,Jupyter Notebook,275,13,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:jatingargiitk/saas-builder,saas-builder,AI-native SaaS framework that builds full-stack apps using autonomous AI agents,https://github.com/jatingargiitk/saas-builder,Python,224,55,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:alrevuelta/connxr,cONNXr,Pure C ONNX runtime with zero dependancies for embedded devices,https://github.com/alrevuelta/connxr,C,219,39,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:jmagly/aiwg,aiwg,"Cognitive architecture for AI-augmented software development. Specialized agents, structured workflows, and multi-platform deployment. Claude Code · Codex · Copilot · Cursor · Factory · Warp · Windsurf.",https://aiwg.io,TypeScript,213,31,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:agenticgokit/agenticgokit,AgenticGoKit,"Open-source Agentic AI framework in Go for building, orchestrating, and deploying intelligent agents. LLM-agnostic, event-driven, with multi-agent workflows, MCP tool discovery, and production-grade observability.",https://docs.agenticgokit.com,Go,178,39,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:bakiraa/qyvaria-hardlogic-kernel-engine,qyvaria-hardlogic-kernel-engine,Top Open-Source AI Engineering Platform 2026 Qyvaria Kernel,https://github.com/bakiraa/qyvaria-hardlogic-kernel-engine,HTML,125,6,,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:llmp-io/legion,Legion,A Python-based framework for building multi-agent systems with LLMs. Currently in pre-launch alpha.,https://github.com/llmp-io/legion,Python,118,20,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aai-framework+stars%3A100..5000
repository:hkuds/nanobot,nanobot,"Ultra-lightweight, open-source, self-hosted personal AI agent framework in Python with WebUI, tools, memory, MCP, multi-agent workflows, automation, and chat apps",https://nanobot.wiki,Python,48253,8528,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:666ghj/bettafish,BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,https://deepwiki.com/666ghj/BettaFish,Python,42243,7615,GPL-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:esengine/deepseek-reasonix,DeepSeek-Reasonix,DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.,http://reasonix.io,Go,35584,2401,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:deepset-ai/haystack,haystack,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",https://haystack.deepset.ai,Python,26526,3142,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:pydantic/pydantic-ai,pydantic-ai,"How Python does AI. Agents, realtime voice, image generation, embeddings. Every model, every interface, typed end to end.",https://pydantic.dev/pydantic-ai,Python,20003,2727,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:rightnow-ai/openfang,openfang,Open-source Agent Operating System,https://openfang.sh,Rust,18243,2292,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
