record_id,name,provider,description,description_length,sentence_count,grounded,specificity,information_quality,marketing_flag,tautology_flag,unsupported_claim_flag,final_audit_status,reason
tool_7e75f3f9311ae674,cc-switch,Groq,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent.",116,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_22722e523af215ba,browser-use,Groq,It provides agents that use the browser.,40,1,True,LOW,LOW,False,False,False,PASS,"Grounded, concise, specific description."
tool_2399ec7b5d329f9d,private-gpt,Groq,"Private GPT provides a complete API layer for private AI applications on local models, supporting features such as RAG, skills, tools, MCP, text-to-sql, and more. It works with any OpenAI-compatible inference server.",216,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_8b2c97aaa1521199,medusa,Groq,Medusa is a commerce platform designed for agents and developers.,65,1,True,MEDIUM,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_c51aea0eca994fff,prompt-optimizer,Groq,An AI prompt optimizer for writing better prompts and getting better AI results.,80,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_aef70ac495a46702,openclaude,Groq,Openclaude is a tool that runs anywhere and uses anything.,58,1,True,LOW,LOW,False,False,False,PASS,"Grounded, concise, specific description."
tool_c04c906beeb2f6f3,OpenCLI,Groq,OpenCLI is a tool that can convert any website into a Command Line Interface (CLI) and use a logged-in browser through an AI agent.,131,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_61ad2538f0c3bb2a,nocobase,Groq,"NocoBase is an open-source AI + no-code platform for building business systems fast, allowing AI to work on top of production-proven infrastructure and a WYSIWYG no-code interface.",180,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_bd430e11fad5b7fa,Auto-claude-code-research-in-sleep,Groq,"The tool 'Auto-claude-code-research-in-sleep' enables lightweight Markdown-only skills for autonomous ML research, including cross-model review loops, idea discovery, and experiment automation. It works with Claude Code, Codex, OpenClaw, or any LLM agent.",255,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_dee87fe28e66478b,opencodex,Groq,"opencodex is a universal provider proxy for OpenAI Codex and Claude Code that enables the use of any LLM (e.g., Claude, Gemini, Grok, DeepSeek, Ollama) with the Codex CLI, app, SDK, and Claude Code.",198,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_8ff2b861cf4f58ee,nanobrowser,Groq,"nanobrowser is an open-source Chrome extension for AI-powered web automation that runs multi-agent workflows using your own LLM API key, as an alternative to OpenAI Operator.",174,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_9c4d972cc4034652,ccstatusline,Groq,ccstatusline provides a customizable statusline for Claude Code CLI with powerline support and themes.,102,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_fe37e69165cb39d9,ChatGPT-Shortcut,Groq,"ChatGPT-Shortcut is a searchable prompt library for ChatGPT, Claude, Gemini, and Cursor.",88,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_d08a330a85e233ab,steel-browser,Groq,Steel Browser is a batteries-included browser sandbox that lets you automate the web without worrying about infrastructure.,123,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_d7e17d8a9f4acacc,modly,Groq,"Modly is a desktop app that generates 3D models from images or prompts using local AI, running entirely on the user's GPU.",122,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_740d362d12f4908b,autoclip,Groq,Provides AI-powered video clipping and highlight generation.,60,1,True,MEDIUM,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_f9a8f19eff136d6e,FunClip,Groq,"FunClip is a FunASR-powered video transcription, subtitle generation, and LLM-assisted clipping tool with a local Gradio UI.",124,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_a7be506c8c90cf37,quotio,Groq,"Quotio is a native macOS menu bar app that unifies Claude, Gemini, OpenAI, Qwen, and Antigravity subscriptions, providing real-time quota tracking and smart auto‑failover for AI coding tools such as Claude Code, OpenCode, and Droid.",232,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_abe3fb74d529db6b,poster-design,Groq,"An online image editor that provides AI-powered poster design and supports scenarios such as poster generation, e‑commerce product images, article long images, and video or public account covers.",195,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_76bdee9cf6429dcd,logfire,Groq,logfire is an AI observability platform for production LLM and agent systems.,77,1,True,MEDIUM,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_9d15ee538baca472,judge0,Groq,judge0 is an open-source online code execution system that runs code in a sandboxed environment for humans and AI.,114,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_f6dba713ec1614e4,claude-devtools,Groq,"Provides a visual UI to inspect Claude Code session logs, tool calls, token usage, subagents, and the context window.",117,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_2533134dbcce5d26,tutti,Groq,tutti is a platform where people and agents build in tune.,58,1,True,LOW,LOW,False,False,False,PASS,"Grounded, concise, specific description."
tool_efcd461b9ec40802,pinme,Groq,Deploy Your Frontend in a Single Command. Claude Code Skills supported.,71,2,True,MEDIUM,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_d10ac25ba2ebd643,anything-analyzer,Groq,"The anything-analyzer is an all-in-one protocol analysis toolkit with built-in browser capture, MITM proxy, JS hooks, fingerprint spoofing, AI analysis, and MCP server for agent integration.",190,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_06b2795a2ecbeb54,llm-wiki-agent,Groq,The llm-wiki-agent is a personal knowledge base that builds and maintains itself by extracting knowledge from dropped sources and maintaining a persistent interlinked wiki.,172,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_76837f17df506d8c,VulnClaw,Groq,"VulnClaw automates the full workflow of information collection, vulnerability discovery, exploitation, and report generation from natural language input, using an AI Agent, MCP toolchain, penetration skill orchestration, and a large language model.",248,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_0db13fe3eb3e0eb6,any-auto-register,Groq,"The any-auto-register tool auto-registers and manages accounts for multiple AI platforms, including ChatGPT, Cursor, Kiro, Grok, Windsurf, Trae, and 13+ others, and provides protocol/browser dual-mode and a one‑click Mac/Windows desktop app.",241,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_c006703a2795d033,claude-tap,Groq,"Intercept and inspect Coding Agent API traffic from Claude Code, Codex CLI, Gemini CLI, Cursor CLI, OpenCode, Kimi/Kimi Code, Pi, and Hermes in a local trace viewer.",165,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_d1179244828ac03d,open-terminal,Groq,open-terminal provides a computer that can be accessed via curl.,64,1,True,MEDIUM,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_54d8589967f974ed,tuicr,Groq,tuicr is a code review TUI with vim keybindings.,48,1,True,LOW,LOW,False,False,False,PASS,"Grounded, concise, specific description."
tool_b46f91ff30a7904b,humanize-text,Groq,"The humanize-text tool is an open-source text humanization pipeline that involves two LLM rewrites at temperature 1.3 and two hops across different NMT engines, with four documented methodologies.",196,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
